Title,Body,Priority,Status,Labels,Repository
"AAJ-022 · Reverse Jurnal (Pembalik Otomatis)","**User story:** Sebagai akuntan, saya ingin membatalkan jurnal yang sudah diposting, agar koreksi tercatat rapi tanpa menghapus riwayat.
**Referensi:** P1-13 / JRN-05 / BR-11 · Sprint 4 · 5 SP · Dependensi: AAJ-009
**Acceptance Criteria:**
- [ ] Aksi Reverse hanya pada jurnal posted (bukan hapus)
- [ ] Dialog konfirmasi + pratinjau jurnal pembalik (debit/kredit dibalik)
- [ ] Jurnal asal reversed; pembalik auto-posted dengan ref REV; saldo kembali
- [ ] Jurnal yang sudah reversed tidak bisa di-reverse ulang
- [ ] Audit trail mencatat aksi reverse",P1,Backlog,"story, priority:P1, sprint-4",
"AAJ-023 · Upload Lampiran Bukti Transaksi","**User story:** Sebagai pemilik usaha, saya ingin melampirkan foto/PDF bukti transaksi, agar semua bukti tersimpan di satu tempat.
**Referensi:** P1-12 / JRN-06 · Sprint 4 · 5 SP · Dependensi: AAJ-009
**Acceptance Criteria:**
- [ ] Upload drag-drop + klik (jpg/png/pdf, maks 5MB, maks 5 file)
- [ ] Thumbnail/ikon di detail jurnal; bisa diunduh
- [ ] Hapus lampiran hanya jika jurnal belum posted
- [ ] Error ukuran/tipe file",P1,Backlog,"story, priority:P1, sprint-4",
"AAJ-024 · Approval Workflow","**User story:** Sebagai manajer keuangan, saya ingin menyetujui atau menolak jurnal sebelum diposting, agar kontrol kualitas pencatatan terjaga.
**Referensi:** P1-14 / JRN-04 · Sprint 4 · 8 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] Status baru pending-approval; submit dari draft
- [ ] Approve ke posted (update saldo); Reject kembali draft + alasan wajib
- [ ] Hanya user dengan izin approve yang melihat tombol approve
- [ ] Notifikasi/badge jurnal menunggu approval di dashboard
- [ ] Audit trail: submit/approve/reject tercatat",P1,Backlog,"story, priority:P1, sprint-4",
"AAJ-025 · Role-Based Access (Admin/Akuntan/Viewer)","**User story:** Sebagai admin, saya ingin mengelola pengguna dengan peran berbeda, agar akses ke data keuangan aman.
**Referensi:** P2-16 / SYS-03 · Sprint 5 · 8 SP · Dependensi: AAJ-024
**Acceptance Criteria:**
- [ ] Role: admin (penuh), accountant (entri + approval), viewer (read-only)
- [ ] CRUD user + assign role di Pengaturan
- [ ] Guard di semua modul: viewer tidak bisa menulis jurnal
- [ ] Role tercermin di profil & permission (GET /auth/me)",P2,Backlog,"story, priority:P2, sprint-5",
"AAJ-026 · Multi-Entitas (Akuntan Multi-Klien)","**User story:** Sebagai akuntan freelance, saya ingin berpindah antar perusahaan klien, agar semua laporan klien terkelola dalam satu aplikasi.
**Referensi:** P1 / SYS-02 · Sprint 5 · 5 SP · Dependensi: AAJ-025
**Acceptance Criteria:**
- [ ] Entity selector di sidebar; switch mengubah seluruh data
- [ ] Pengaturan Perusahaan: nama, mata uang (IDR), awal tahun fiskal
- [ ] Isolasi data antar entitas (tidak ada kebocoran)
- [ ] Header laporan menampilkan nama entitas aktif",P1,Backlog,"story, priority:P1, sprint-5",
"AAJ-027 · Pencarian Global (Top Bar)","**User story:** Sebagai pengguna, saya ingin mencari jurnal dan akun dari satu kotak pencarian, agar cepat menemukan apa pun.
**Referensi:** P1-11 · Sprint 5 · 3 SP · Dependensi: AAJ-009
**Acceptance Criteria:**
- [ ] Pencarian dari top bar (debounce 300ms) mencakup jurnal & akun
- [ ] Hasil terkelompok per tipe; klik menuju entitas terkait
- [ ] Empty state Tidak ditemukan hasil",P1,Backlog,"story, priority:P1, sprint-5",
"AAJ-028 · Laporan Arus Kas (Metode Tidak Langsung)","**User story:** Sebagai manajer keuangan, saya ingin melihat arus kas per aktivitas, agar tahu dari mana kas masuk dan keluar.
**Referensi:** P2-15 / RPT-04 · Sprint 5 · 8 SP · Dependensi: AAJ-016, AAJ-017
**Acceptance Criteria:**
- [ ] Metode tidak langsung: laba bersih + penyesuaian non-kas + perubahan modal kerja
- [ ] 3 seksi: Operasi, Investasi, Pendanaan
- [ ] Mapping grup akun ke aktivitas (konfigurasi di Pengaturan)
- [ ] Unit test konsistensi kas akhir = kas awal + arus kas bersih",P2,Backlog,"story, priority:P2, sprint-5",
"AAJ-029 · States Menyeluruh: Loading, Empty, Error, Edge Cases","**User story:** Sebagai pengguna, saya ingin aplikasi memberi umpan balik jelas di setiap kondisi, agar tidak bingung saat error atau data kosong.
**Referensi:** PRD Ver 3 §12 · Sprint 5 · 5 SP · Dependensi: semua modul
**Acceptance Criteria:**
- [ ] Skeleton/spinner di semua modul saat loading
- [ ] Empty states sesuai PRD §12.2 dengan CTA relevan
- [ ] Error banner jaringan + tombol Muat Ulang; toast error server
- [ ] Edge cases: periode tertutup, saldo tidak balance, akun non-aktif, double-click
- [ ] Aksesibilitas dasar: keyboard, focus states, aria-label",P0,Backlog,"story, priority:P0, sprint-5",
"AAJ-030 · Performance: Virtual Scrolling 10.000 Baris","**User story:** Sebagai pengguna dengan data besar, saya ingin daftar jurnal tetap lancar walau ribuan baris, agar tidak lemot.
**Referensi:** NFR / TRD §5 · Sprint 6 · 8 SP · Dependensi: AAJ-009, AAJ-011
**Acceptance Criteria:**
- [ ] Tabel jurnal & buku besar memakai virtual scrolling
- [ ] Render 10.000 baris di bawah 2 detik (profiler)
- [ ] Scroll halus; sort/filter responsif
- [ ] Bundle awal di bawah 200KB gzip (code splitting)",P0,Backlog,"story, priority:P0, sprint-6",
"AAJ-031 · Pembanding Laporan Antar Periode","**User story:** Sebagai manajer keuangan, saya ingin membandingkan laba rugi bulan ini vs bulan lalu, agar melihat tren pertumbuhan.
**Referensi:** P2 · Sprint 6 · 5 SP · Dependensi: AAJ-016
**Acceptance Criteria:**
- [ ] Dropdown Bandingkan dengan di Laba Rugi dan Neraca
- [ ] Nilai periode berjalan vs pembanding + selisih
- [ ] Delta % di baris total",P2,Backlog,"story, priority:P2, sprint-6",
"AAJ-032 · Onboarding Interaktif","**User story:** Sebagai pengguna baru, saya ingin dipandu langkah demi langkah, agar bisa membuat jurnal pertama dalam 5 menit.
**Referensi:** BRD (time-to-first-journal) · Sprint 6 · 5 SP · Dependensi: AAJ-005
**Acceptance Criteria:**
- [ ] Wizard: buat entitas, muat template COA, buat jurnal pertama
- [ ] Tooltip/spotlight di kunjungan pertama
- [ ] Progress onboarding terlihat; bisa dilewati
- [ ] Onboarding selesai setelah jurnal pertama diposting",P1,Backlog,"story, priority:P1, sprint-6",
"AAJ-033 · Import/Export COA Excel","**User story:** Sebagai akuntan, saya ingin mengimpor daftar akun dari Excel, agar tidak mengetik ulang akun yang sudah ada.
**Referensi:** P1 / COA-03 · Sprint 6 · 5 SP · Dependensi: AAJ-004
**Acceptance Criteria:**
- [ ] Export COA XLSX sebagai template
- [ ] Import dengan validasi per baris; laporan imported/failed + error per baris
- [ ] Baris gagal tidak menggagalkan seluruh import
- [ ] Preview hasil sebelum konfirmasi final",P1,Backlog,"story, priority:P1, sprint-6",
"AAJ-034 · Integrasi Bank (Spike + MVP Sederhana)","**User story:** Sebagai pemilik usaha, saya ingin melihat transaksi bank otomatis, agar tidak perlu mencatat manual.
**Referensi:** P2-17 · Sprint 6 · 13 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] Spike: riset penyedia data bank, dokumentasikan keputusan arsitektur
- [ ] Sambungkan akun bank: tarik transaksi menjadi jurnal draft
- [ ] Rekonsiliasi: cocokkan transaksi bank dengan jurnal existing
- [ ] Feature flag bila integrasi belum tersedia",P2,Backlog,"story, priority:P2, sprint-6",
